Borough,Crime,Poverty_AHC
Westminster,606,36
Haringey,633,35
Hackney,501,29
Enfield,583,34
Lambeth,571,26
Tower Hamlets,537,39
Islington,383,22
Newham,523,36
Southwark,495,26
Barking and Dagenham,331,29
Croydon,519,23
Waltham Forest,375,27
Greenwich,371,24
Camden,323,34
Ealing,421,30
Lewisham,381,35
Kensington and Chelsea,196,27.3
Hammersmith and Fulham,210,20
Brent,353,36
Wandsworth,324,43
Redbridge,315,27
Hounslow,258,29
Hillingdon,241,24
Merton,176,16
Sutton,168,18
Barnet,268,25
Harrow,170,26
Bexley,167,29
Havering,168,17
Bromley,180,17
Richmond upon Thames,94,19
Kingston upon Thames,93,23
